1	14
2	28
3	52
4	120
5	161
6	182
7	162
8	154
9	100
10	75
11	51
12	37
13	22
14	10
15	9
16	8
17	7
18	1
19	1
20	1
25	1
26	2
27	2
29	1
31	3
32	1
34	1
35	1
38	1
39	3
40	2
41	2
43	2
44	2
45	4
46	7
47	2
48	4
49	2
50	5
51	3
52	2
53	6
54	4
55	4
56	3
57	1
58	1
59	4
61	7
62	3
63	3
64	3
65	5
66	4
67	3
68	6
69	2
70	5
73	4
74	3
75	2
76	5
77	3
78	2
79	1
80	3
81	1
82	2
83	4
84	1
85	5
86	1
87	3
88	2
89	1
90	3
91	2
92	3
93	1
95	2
96	2
97	3
98	1
100	4
101	5
102	1
103	2
104	1
105	1
107	4
108	1
109	1
111	2
113	1
114	3
118	2
120	4
122	1
125	1
126	2
129	1
130	1
132	1
135	1
136	2
141	1
143	1
160	1
180	1
185	1
189	1
204	1
222	1
223	1
294	1
423	1
482	1
484	1
493	1
601	1
696	1
